id,codigo_barras,descripcion,stock_minimo,id_proveedor,stock_ideal,id_unidad,id_padre,tipo,cant_paquete,precio_costo,precio_venta,precio_venta2,precio_venta3,estado
1,TR1491,"BOLA ACERO FORJADA 1"" X KL",0,,0,2,,0,1,4655.823359,6900,6400,6300,t
2,TR1492,"BOLA ACERO FORJADA 1 1/2"" X KL",0,,0,2,,0,1,4440.238441,6900,6400,6300,t
3,TR1335,SOLDADURA SOLDARCO 6013 X 3/32,0,,0,2,,0,1,12387.677419,19100,18100,17200,t
4,TR0302,FLEJE CHIPA 1/4 X KLS,0,,0,2,,0,1,4201.7,7600,7300,7100,t
5,TR2819,"BOLSA AIRE 4"" X KL",0,,0,2,,0,1,18629.461538,25000,23000,22000,t
6,TR2637,SOLDADURA SOLDARCO 6011 X 1/8,0,,0,2,,0,1,12890.311026,28200,25200,22100,t
7,TR1493,"BOLA ACERO FORJADA 2"" X KL",0,,0,2,,0,1,4470.509526,6900,6400,6300,t
8,TR1494,"BOLA ACERO FORJADA 3"" X KL",0,,0,2,,0,1,4400.462192,6900,6400,6300,t
9,TR3294,CORREA A 48,0,,0,2,,0,1,7059,0,0,0,t
10,TR1903,SOLDADURA SOLDARCO 7018 X 5/32,0,,0,2,,0,1,12007.075167,21200,19300,18300,t
11,TR1495,"BOLA ACERO FORJADA 3 1/2"" X KL",0,,0,2,,0,1,4616.601237,6900,6400,6300,t
12,TR1599,SOLDADURA SOLDARCO 7018 X 1/8,0,,0,2,,0,1,12577.918321,23300,21300,19200,t
13,TR1725,FLEJE CHIPA 3/8 X KLS,0,,0,2,,0,1,4201.7,8000,7500,7000,t
14,TR1968,ALAMBRE GALVANIZADO C: 10-12-14-16 K KL,0,,0,2,,0,1,6385.54,11400,10900,10500,t
15,TR0073,ALAMBRE AMARRE NEGRO X KLS,0,,0,2,,0,1,5714.25,8500,8300,7700,t
16,TR0105,"BOLSA 2"" DE VIKINGO",0,,0,2,,0,1,14268.088144,23100,22600,21800,t
17,TR2496,"BOLA ACERO FORJADA 4"" X KL",0,,0,2,,0,1,4572.117638,6900,6400,6300,t
18,TR1803,ALAMBRE GALVANIZADO C: 18-20 X KG,0,,0,2,,0,1,9159.7,15000,14000,13000,t
19,TR1638,SOLDADURA SOLDARCO 6013 X 1/8,0,,0,2,,0,1,12774.531296,20600,18900,17200,t
20,TR0104,"BOLA ACERO FORJADA 2 1/2"" X KL",0,,0,2,,0,1,4399.172657,6900,6400,6300,t
21,TR2222,SOLDADURA WEST ARCO DUROWELD 5/32  X  KL,0,,0,2,,0,1,24370.511905,37000,36000,35000,t
22,TR2955,SOLDADURA SOLDARCO 6011 X 3/32,0,,0,2,,0,1,13455.354978,21000,20000,19000,t
23,TR2752,SOLDADURA SOLDARCO 6013 X 5/32,0,,0,2,,0,1,12282.933105,19800,18300,17300,t
24,TR0126,BREA (ASFALTO SOLIDO X KLS),0,,0,2,,0,1,4508.879607,8600,8000,7500,t
25,TR3048,SOLDADURA SOLDARCO 6011 X 5/32,0,,0,2,,0,1,12475.325,20500,19500,18300,t
26,TR2475,CABLE COBRE AISL #8 X MTS,0,,0,3,,0,1,6082.846667,8800,8700,8600,t
27,TR2639,"MANGUERA PARA GAS 3/8"" AMARILLA",0,,0,3,,0,1,2100.84,2000,1900,1800,t
28,TR0162,CABLE DUPLEX  2X12 X MTS,0,,0,3,,0,1,4766.071161,8000,7500,7100,t
29,TR0163,CABLE DUPLEX  2X14 X MTS,0,,0,3,,0,1,3063.103248,5000,4700,4500,t
